run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff,crop_data
1,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2004,01.10.2005,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
2,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2005,01.10.2006,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2006_100_25832_etrs89-utm32n.asc
3,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2006,01.10.2007,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2007_100_25832_etrs89-utm32n.asc
4,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2007,01.10.2008,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2008_100_25832_etrs89-utm32n.asc
5,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2008,01.10.2009,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2009_100_25832_etrs89-utm32n.asc
6,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2009,01.10.2010,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2010_100_25832_etrs89-utm32n.asc
7,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2010,01.10.2011,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2011_100_25832_etrs89-utm32n.asc
8,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2011,01.10.2012,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2012_100_25832_etrs89-utm32n.asc
9,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2012,01.10.2013,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2013_100_25832_etrs89-utm32n.asc
10,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,01.09.2013,01.10.2014,False,False,True,True,True,False,True,False,True,False,False,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2014_100_25832_etrs89-utm32n.asc
