run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff,crop_data
1,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2004-09-01,2005-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
2,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2005-09-01,2006-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2006_100_25832_etrs89-utm32n.asc
3,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2006-09-01,2007-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2007_100_25832_etrs89-utm32n.asc
4,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2007-09-01,2008-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2008_100_25832_etrs89-utm32n.asc
5,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2008-09-01,2009-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2009_100_25832_etrs89-utm32n.asc
6,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2009-09-01,2010-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2010_100_25832_etrs89-utm32n.asc
7,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2010-09-01,2011-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2011_100_25832_etrs89-utm32n.asc
8,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2011-09-01,2012-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2012_100_25832_etrs89-utm32n.asc
9,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2012-09-01,2013-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2013_100_25832_etrs89-utm32n.asc
10,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2013-09-01,2014-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2014_100_25832_etrs89-utm32n.asc
11,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2014-09-01,2015-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2015_100_25832_etrs89-utm32n.asc
12,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2015-09-01,2016-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2016_100_25832_etrs89-utm32n.asc
13,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2016-09-01,2017-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2017_100_25832_etrs89-utm32n.asc
14,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-09-01,2018-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2018_100_25832_etrs89-utm32n.asc
15,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-09-01,2019-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2019_100_25832_etrs89-utm32n.asc
16,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-09-01,2020-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2020_100_25832_etrs89-utm32n.asc
17,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-09-01,2021-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2021_100_25832_etrs89-utm32n.asc
18,True,fixed,auto,WRa_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-09-01,2022-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2022_100_25832_etrs89-utm32n.asc
19,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2004-09-01,2005-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,1,,historic_runs,BRA_BER,,,,,,BB_CType3_2005_100_25832_etrs89-utm32n.asc
20,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2005-09-01,2006-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,1,,historic_runs,BRA_BER,,,,,,BB_CType3_2006_100_25832_etrs89-utm32n.asc
21,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2006-09-01,2007-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,1,,historic_runs,BRA_BER,,,,,,BB_CType3_2007_100_25832_etrs89-utm32n.asc
22,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2007-09-01,2008-10-01,False,False,True,True,True,False,False,True,True,True,True,False,False,,,1,,historic_runs,BRA_BER,,,,,,BB_CType3_2008_100_25832_etrs89-utm32n.asc
